Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Precision,Recall,Time Taken
RandomForestClassifier,0.896,0.8695746924429425,0.9753952122314379,0.896087203247857,0.8966347568962281,0.896,1.046346664428711
XGBClassifier,0.8885,0.8647423715945255,0.9754830312443371,0.8885271190302144,0.8886191895411385,0.8885,0.50018310546875
BaggingClassifier,0.87975,0.8497101583604554,0.9671455291865865,0.8806411752216934,0.8822662940998676,0.87975,0.32143616676330566
DecisionTreeClassifier,0.85825,0.8219522608913487,0.9062431500666915,0.8599423704638185,0.8628933665055505,0.85825,0.06623530387878418
AdaBoostClassifier,0.79875,0.7525552498114113,0.8086059862466405,0.7916697756073572,0.8359537514946646,0.79875,0.41639089584350586
SVC,0.6955,0.691559884672016,,0.6981566676641805,0.7036471473236928,0.6955,1.9723827838897705
ExtraTreesClassifier,0.70975,0.6911755868164636,0.8970482962945673,0.7059013800905004,0.7068090371350297,0.70975,0.626356840133667
NuSVC,0.68775,0.6791840440919911,,0.6911943884217686,0.6974599990659023,0.68775,2.489330768585205
LogisticRegression,0.61225,0.6216201175514364,0.8287514053722488,0.6118733288433938,0.6148493981449725,0.61225,0.058989763259887695
LinearDiscriminantAnalysis,0.6105,0.6172830315043643,0.8306243757862037,0.6113561442662181,0.6149388008466844,0.6105,0.03926897048950195
QuadraticDiscriminantAnalysis,0.61275,0.6094321680092277,0.8337239666584483,0.6068347440179895,0.6117688515484906,0.61275,0.03991580009460449
CalibratedClassifierCV,0.57625,0.6071517207727816,0.8122996879961066,0.5565006223486549,0.5727968699310936,0.57625,0.13849568367004395
LinearSVC,0.55475,0.5932059396266571,,0.5215256761794042,0.5549878482503833,0.55475,1.0376722812652588
NearestCentroid,0.58925,0.5930423129318186,,0.5892000964594112,0.5931731237130674,0.58925,0.12946176528930664
GaussianNB,0.595,0.5923935349862863,0.8174123914265866,0.580321218816268,0.5968103689861044,0.595,0.0308077335357666
BernoulliNB,0.568,0.5687039160096523,0.79879955946304,0.5662767119292043,0.5743170687919326,0.568,0.031424760818481445
KNeighborsClassifier,0.55975,0.5598177014101073,0.7820397637433663,0.5457571913026306,0.5599692388780348,0.55975,1.1582324504852295
SGDClassifier,0.523,0.5566851522404569,,0.505614048641328,0.5167340554625596,0.523,0.14956927299499512
RidgeClassifier,0.4775,0.5373041469937574,,0.3876823182950989,0.5348760102716341,0.4775,0.024100065231323242
RidgeClassifierCV,0.4775,0.5373041469937574,,0.3876696995401804,0.5357224320365167,0.4775,0.03151726722717285
LabelSpreading,0.546,0.5318791577052455,0.7388007517234723,0.5431642187453143,0.5440386926641184,0.546,3.459285259246826
LabelPropagation,0.546,0.5318782867525627,0.7618306315255803,0.543105572554354,0.5439286689353428,0.546,2.514683961868286
Perceptron,0.5235,0.5030338510283534,,0.5272345983607055,0.5323852155777163,0.5235,0.038271188735961914
ExtraTreeClassifier,0.5075,0.4968983604733519,0.6559195556513904,0.5107102459915354,0.5179933307817234,0.5075,0.029662370681762695
PassiveAggressiveClassifier,0.4795,0.4440978015188025,,0.4854758668843584,0.5160249769589744,0.4795,0.03806257247924805
DummyClassifier,0.35525,0.25,0.5,0.18624248293672752,0.1262025625,0.35525,0.024157047271728516
